num_condition,type,goals,GT_subgoals_disfavour,GT_subgoals_favour,agent,subgoals_disfavour,subgoals_favour,pddl_costs,Completeness,Correctness
1,1 - Robot negative,"['1','3','5']",[],none,robot,[],"['', ""['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'paquete recogido loc2_entradaFME', 'registros colocados caja', 'caja llevada almacen']""]","[{}, {'attribute': ""'sello puesto sobre'_cost"", 'agent': 'human', 'obj': ""['carta colocada sobre'"", 'loc': ""'sobre enviado correus'"", 'value': 100}]",1.0,1.0
2,1 - Robot negative,"['1','3','5']",[],none,robot,[],"['', ""['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'carrito recogido loc3', 'paquete recogido loc2_entradaFME', 'carrito dejado loc3', 'registros colocados caja', 'caja llevada almacen']""]","[{}, {'attribute': ""'sello puesto sobre'_cost"", 'agent': 'human', 'obj': ""['carta colocada sobre'"", 'loc': ""'sobre enviado correus'"", 'value': 100}]",1.0,1.0
3,1 - Robot negative,"['1','3','5']",['paquete recogido loc2_entradaFME'],none,robot,['paquete recogido loc2_entradaFME'],"['paquete recogido loc2_entradaFME', '']","[{}, {}, {}]",1.0,1.0
4,1 - Robot negative,"['1','3','5']",[],none,human,[],[''],[{}],1.0,1.0
5,1 - Robot negative,"['1','3','5']","['sobre enviado correus', 'paquete recogido loc2_entradaFME']",none,robot,"['sobre enviado correus', 'paquete recogido loc2_entradaFME']","['sobre enviado correus', 'paquete recogido loc2_entradaFME', '', 'carta colocada sobre', 'sello puesto sobre', 'registros colocados caja', 'caja llevada almacen']","[{}, {}, {}, {}, {}, {}, {}, {}, {}]",1.0,1.0
6,1 - Robot negative,"['1','3','5']",[],none,human,[],[''],[{}],1.0,1.0
7,1 - Robot negative,"['1','3','5']",['sobre enviado correus'],none,robot,[],[''],[{}],0.0,0.0
8,1 - Robot negative,"['1','3','5']",[],none,human,[],"['', ""['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'carrito recogido loc3', 'paquete recogido loc2_entradaFME', 'carrito dejado loc3', 'registros colocados caja', 'caja llevada almacen']""]","[{}, {'attribute': ""'sello puesto sobre'_cost"", 'agent': 'robot', 'obj': ""['carta colocada sobre'"", 'loc': ""'sobre enviado correus'"", 'value': 100}]",1.0,1.0
9,1 - Robot negative,"['1','3','5']","['carta colocada sobre', 'sello puesto sobre']",none,human,"['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'carrito recogido loc3', 'carrito dejado loc3', 'registros colocados caja']","['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'carrito recogido loc3', 'carrito dejado loc3', 'registros colocados caja', '', 'paquete recogido loc2_entradaFME', 'caja llevada almacen']","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",1.0,0.3333333333333333
1,1 - Robot negative,"['1','2','7']",['cuter usado paquete'],none,robot,['cuter usado paquete'],"['cuter usado paquete', '']","[{}, {}, {}]",1.0,1.0
2,1 - Robot negative,"['1','2','7']",[],none,robot,"['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus']","['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', '', 'material organizado loc1', 'diplomas sellados loc1', 'cuter usado paquete']","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",0.0,0.0
3,1 - Robot negative,"['1','2','7']",[],none,robot,['cuter usado paquete'],"['cuter usado paquete', '']","[{}, {}, {}]",0.0,0.0
4,1 - Robot negative,"['1','2','7']",['diplomas sellados loc1'],none,human,"['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus']","['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', '', 'diplomas sellados loc1', 'material organizado loc1']","[{}, {}, {}, {}, {}, {}, {}, {}, {}]",0.0,0.0
5,1 - Robot negative,"['1','2','7']",['sobre enviado correus'],none,robot,"['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'diplomas sellados loc1', 'cuter usado paquete']","['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'diplomas sellados loc1', 'cuter usado paquete', '', 'material organizado loc1']","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",1.0,0.2
6,1 - Robot negative,"['1','2','7']",['material organizado loc1'],none,human,['material organizado loc1'],"['material organizado loc1', '']","[{}, {}, {}]",1.0,1.0
7,1 - Robot negative,"['1','2','7']",['sobre enviado correus'],none,robot,[],"['', 'material organizado loc1']","[{}, {}]",0.0,0.0
8,1 - Robot negative,"['1','2','7']",[],none,human,[],"['', 'material organizado loc1']","[{}, {}]",1.0,1.0
9,1 - Robot negative,"['1','2','7']","['carta colocada sobre', 'diplomas sellados loc1', 'sello puesto sobre']",none,human,"['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'diplomas sellados loc1']","['carta colocada sobre', 'sello puesto sobre', 'sobre enviado correus', 'diplomas sellados loc1', '', 'cuter usado paquete', 'material organizado loc1']","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",1.0,0.75
1,1 - Robot negative,"['2','3','4','6']",[],none,robot,[],"['', ""['diplomas sellados loc1', 'paquete recogido loc2_entradaFME', 'visitante atendido loc4', 'basura colocada contenedores']""]","[{}, {'attribute': ""'paquete recogido loc2_entradaFME'_cost"", 'agent': 'human', 'obj': ""['diplomas sellados loc1'"", 'loc': ""'visitante atendido loc4'"", 'value': 100}]",1.0,1.0
